IP:Port,Loss,Latency
188.114.98.179:4500,0%,24.29
162.159.192.255:943,0%,24.29
162.159.192.45:7281,0%,24.29
188.114.97.244:1387,0%,24.29
188.114.97.185:968,0%,24.29
188.114.98.140:3138,0%,24.29
188.114.99.218:934,0%,24.29
162.159.192.46:968,0%,24.29
188.114.96.7:891,0%,24.29
162.159.192.47:4500,0%,24.29
188.114.96.174:4233,0%,24.29
188.114.99.179:859,0%,24.29
188.114.98.201:2371,0%,24.29
162.159.195.126:1074,0%,24.29
188.114.96.11:1074,0%,24.29
188.114.99.90:7559,0%,24.29
188.114.96.165:1180,0%,24.29
188.114.99.84:1180,0%,24.30
162.159.192.154:880,0%,24.30
162.159.195.176:1002,0%,24.30
162.159.195.126:1070,0%,24.30
162.159.192.193:859,0%,24.30
188.114.98.58:934,0%,24.30
188.114.96.23:1010,0%,24.30
188.114.97.182:934,0%,24.30
162.159.195.194:859,0%,24.30
188.114.96.16:3476,0%,24.30
188.114.96.165:1002,0%,24.30
188.114.96.227:4177,0%,24.30
162.159.192.118:8742,0%,24.30
188.114.99.39:942,0%,24.30
162.159.195.253:5279,0%,24.30
188.114.97.148:864,0%,24.30
188.114.98.63:500,0%,24.30
162.159.195.181:1014,0%,24.30
188.114.99.222:8319,0%,24.31
188.114.98.183:859,0%,24.31
188.114.97.213:1010,0%,24.31
188.114.99.70:946,0%,24.31
188.114.99.127:864,0%,24.31
188.114.98.160:8319,0%,24.31
162.159.195.143:903,0%,24.31
188.114.99.251:500,0%,24.31
188.114.98.242:1010,0%,24.31
162.159.192.66:8319,0%,24.31
188.114.96.144:903,0%,24.31
162.159.192.67:878,0%,24.31
162.159.195.124:3581,0%,24.31
188.114.99.31:891,0%,24.31
188.114.99.101:894,0%,24.31
162.159.195.229:3476,0%,24.31
188.114.99.145:8319,0%,24.31
162.159.192.118:878,0%,24.31
162.159.195.182:946,0%,24.32
188.114.97.34:7281,0%,24.32
188.114.99.109:968,0%,24.32
188.114.96.142:4177,0%,24.32
188.114.96.196:903,0%,24.32
162.159.195.72:891,0%,24.32
188.114.96.101:4198,0%,24.32
188.114.97.42:934,0%,24.32
188.114.99.197:3581,0%,24.32
162.159.192.180:8854,0%,24.32
188.114.98.181:908,0%,24.32
162.159.195.116:891,0%,24.32
188.114.98.154:4177,0%,24.32
162.159.192.39:4500,0%,24.32
162.159.192.123:908,0%,24.32
188.114.96.14:4233,0%,24.32
188.114.99.77:878,0%,24.32
162.159.192.111:2371,0%,24.32
162.159.192.57:890,0%,24.32
162.159.192.65:7156,0%,24.32
188.114.99.178:903,0%,24.32
188.114.97.90:8742,0%,24.33
188.114.96.34:1701,0%,24.33
188.114.97.7:854,0%,24.33
162.159.192.53:1070,0%,24.33
188.114.98.222:7281,0%,24.33
188.114.98.195:859,0%,24.33
188.114.96.255:7103,0%,24.33
188.114.99.82:859,0%,24.33
188.114.98.95:2371,0%,24.33
188.114.97.152:8886,0%,24.33
162.159.195.127:864,0%,24.33
188.114.97.49:5279,0%,24.33
188.114.96.197:4177,0%,24.33
162.159.195.23:8319,0%,24.33
188.114.97.186:894,0%,24.33
188.114.97.63:1387,0%,24.33
188.114.99.11:928,0%,24.34
188.114.99.173:1070,0%,24.34
188.114.98.97:1018,0%,24.34
188.114.98.57:942,0%,24.34
188.114.97.54:894,0%,24.34
188.114.98.73:8742,0%,24.34
162.159.192.15:943,0%,24.34
188.114.99.215:2408,0%,24.34
162.159.195.20:988,0%,24.34
188.114.96.192:2408,0%,24.34
188.114.97.20:7281,0%,24.34
188.114.97.33:890,0%,24.34
162.159.195.83:4233,0%,24.34
188.114.98.227:4177,0%,24.34
188.114.97.72:7103,0%,24.34
188.114.97.64:4500,0%,24.34
162.159.195.41:500,0%,24.34
188.114.99.32:8886,0%,24.34
188.114.96.14:988,0%,24.34
188.114.98.135:864,0%,24.35
162.159.192.136:946,0%,24.35
188.114.96.216:939,0%,24.35
188.114.97.53:903,0%,24.35
188.114.98.117:864,0%,24.35
188.114.98.30:8886,0%,24.35
188.114.99.110:1070,0%,24.35
188.114.99.69:3138,0%,24.35
162.159.195.37:934,0%,24.35
188.114.99.225:859,0%,24.35
188.114.98.2:1843,0%,24.35
188.114.96.189:934,0%,24.35
188.114.99.11:864,0%,24.35
188.114.96.183:1387,0%,24.35
162.159.192.43:8319,0%,24.35
188.114.99.108:880,0%,24.35
162.159.195.221:4177,0%,24.35
162.159.195.207:4500,0%,24.35
188.114.98.50:1014,0%,24.35
188.114.97.81:864,0%,24.35
188.114.98.101:943,0%,24.36
188.114.96.165:1387,0%,24.36
188.114.96.36:928,0%,24.36
162.159.192.209:3854,0%,24.36
188.114.97.224:891,0%,24.36
188.114.97.24:3581,0%,24.36
162.159.192.104:934,0%,24.36
162.159.192.239:3138,0%,24.36
188.114.99.97:1074,0%,24.36
162.159.195.200:3476,0%,24.36
188.114.97.190:5279,0%,24.36
188.114.97.188:1843,0%,24.36
162.159.192.76:1387,0%,24.36
188.114.96.240:934,0%,24.36
162.159.192.146:1074,0%,24.36
162.159.195.72:3138,0%,24.36
188.114.98.38:4500,0%,24.36
188.114.97.59:8319,0%,24.36
188.114.98.156:7281,0%,24.36
162.159.195.196:1180,0%,24.36
188.114.99.96:4233,0%,24.36
162.159.195.82:1010,0%,24.36
162.159.192.14:1018,0%,24.37
162.159.195.192:946,0%,24.37
188.114.99.231:968,0%,24.37
162.159.195.137:1387,0%,24.37
162.159.195.23:908,0%,24.37
162.159.192.154:2408,0%,24.37
188.114.99.99:3138,0%,24.37
188.114.98.204:8742,0%,24.37
162.159.192.147:1843,0%,24.37
188.114.99.227:955,0%,24.37
162.159.192.149:8854,0%,24.37
188.114.96.216:8742,0%,24.37
162.159.192.199:4500,0%,24.37
188.114.97.5:3581,0%,24.37
162.159.192.207:4198,0%,24.37
188.114.98.160:3138,0%,24.37
188.114.98.93:8742,0%,24.37
188.114.98.111:7103,0%,24.37
188.114.98.57:864,0%,24.37
162.159.195.211:2506,0%,24.37
162.159.192.97:859,0%,24.37
188.114.97.185:945,0%,24.37
188.114.97.47:3138,0%,24.37
188.114.98.143:2408,0%,24.37
162.159.195.220:928,0%,24.37
188.114.98.166:3138,0%,24.37
188.114.97.238:988,0%,24.37
188.114.97.186:4500,0%,24.38
162.159.192.176:908,0%,24.38
188.114.98.182:859,0%,24.38
188.114.99.167:7152,0%,24.38
188.114.96.211:2371,0%,24.38
188.114.96.136:1180,0%,24.38
188.114.97.239:928,0%,24.38
188.114.96.171:8319,0%,24.38
188.114.97.142:942,0%,24.38
188.114.98.39:1010,0%,24.38
188.114.98.72:7103,0%,24.38
188.114.97.22:880,0%,24.38
188.114.96.171:955,0%,24.38
162.159.192.178:890,0%,24.38
188.114.99.145:1070,0%,24.38
162.159.195.9:1387,0%,24.38
188.114.97.92:1180,0%,24.38
162.159.192.35:500,0%,24.38
188.114.98.109:890,0%,24.38
188.114.98.214:4177,0%,24.38
188.114.97.68:864,0%,24.38
162.159.195.153:7156,0%,24.38
162.159.192.120:4500,0%,24.38
188.114.97.192:1002,0%,24.38
188.114.96.170:4198,0%,24.39
162.159.192.24:968,0%,24.39
188.114.97.220:4500,0%,24.39
188.114.98.187:859,0%,24.39
162.159.195.37:987,0%,24.39
188.114.97.21:1701,0%,24.39
188.114.97.172:1701,0%,24.39
188.114.96.20:859,0%,24.39
162.159.192.236:500,0%,24.39
162.159.195.175:1018,0%,24.39
162.159.195.0:3854,0%,24.39
162.159.192.29:2506,0%,24.39
162.159.192.41:3581,0%,24.39
162.159.192.116:7156,0%,24.39
162.159.195.200:1701,0%,24.39
188.114.99.102:4500,0%,24.39
188.114.97.50:3476,0%,24.39
162.159.195.214:880,0%,24.39
188.114.98.255:939,0%,24.39
188.114.99.115:859,0%,24.39
162.159.192.20:8319,0%,24.39
188.114.99.185:1014,0%,24.39
162.159.195.27:500,0%,24.39
162.159.192.134:5279,0%,24.39
188.114.98.165:1074,0%,24.39
162.159.195.150:1701,0%,24.40
188.114.98.165:908,0%,24.40
162.159.192.181:2506,0%,24.40
162.159.192.122:864,0%,24.40
162.159.192.101:1070,0%,24.40
188.114.99.80:945,0%,24.40
188.114.98.169:934,0%,24.40
188.114.98.204:880,0%,24.40
162.159.192.193:500,0%,24.40
188.114.98.100:8886,0%,24.40
188.114.99.10:934,0%,24.40
188.114.98.87:1014,0%,24.40
188.114.98.58:3854,0%,24.40
188.114.99.169:500,0%,24.40
188.114.96.4:5956,0%,24.40
162.159.192.53:878,0%,24.40
188.114.96.162:880,0%,24.40
162.159.195.118:880,0%,24.40
162.159.192.82:903,0%,24.40
162.159.195.57:1387,0%,24.40
188.114.99.193:8854,0%,24.40
188.114.97.179:1843,0%,24.40
188.114.96.252:891,0%,24.40
188.114.96.91:939,0%,24.40
162.159.195.182:1002,0%,24.40
188.114.97.81:1014,0%,24.40
162.159.192.222:894,0%,24.40
162.159.195.65:955,0%,24.40
188.114.99.144:4177,0%,24.40
188.114.98.164:880,0%,24.41
162.159.192.125:1010,0%,24.41
162.159.192.131:891,0%,24.41
162.159.192.128:7103,0%,24.41
162.159.195.54:1010,0%,24.41
188.114.99.138:945,0%,24.41
188.114.99.223:3476,0%,24.41
188.114.98.136:2408,0%,24.41
162.159.192.37:4233,0%,24.41
188.114.98.133:2371,0%,24.41
188.114.97.194:8854,0%,24.41
188.114.99.214:4198,0%,24.41
188.114.98.41:908,0%,24.41
188.114.96.173:4233,0%,24.41
162.159.192.74:3854,0%,24.41
188.114.97.122:854,0%,24.41
188.114.98.233:1002,0%,24.41
162.159.192.48:4177,0%,24.41
162.159.195.28:942,0%,24.41
162.159.192.104:1014,0%,24.41
188.114.96.17:1070,0%,24.41
188.114.98.231:8742,0%,24.41
188.114.97.79:943,0%,24.41
162.159.195.208:4233,0%,24.42
188.114.97.67:1701,0%,24.42
162.159.195.64:7103,0%,24.42
188.114.98.38:7559,0%,24.42
188.114.96.194:903,0%,24.42
162.159.195.251:1070,0%,24.42
188.114.97.237:891,0%,24.42
188.114.97.48:934,0%,24.42
188.114.98.86:8319,0%,24.42
188.114.97.130:1010,0%,24.42
188.114.96.71:968,0%,24.42
162.159.195.105:908,0%,24.42
188.114.99.203:864,0%,24.42
188.114.96.28:894,0%,24.42
162.159.192.113:7103,0%,24.42
188.114.98.181:5279,0%,24.43
188.114.99.236:934,0%,24.43
188.114.98.135:943,0%,24.43
188.114.97.43:7559,0%,24.43
162.159.192.217:942,0%,24.43
188.114.96.53:7156,0%,24.43
162.159.192.246:890,0%,24.43
188.114.99.43:945,0%,24.43
188.114.96.152:934,0%,24.43
188.114.98.149:4198,0%,24.43
162.159.192.71:987,0%,24.43
162.159.195.146:939,0%,24.43
162.159.195.38:3854,0%,24.43
162.159.195.159:878,0%,24.43
162.159.192.254:903,0%,24.43
188.114.96.26:4198,0%,24.44
188.114.97.236:1074,0%,24.44
188.114.97.22:891,0%,24.44
162.159.192.200:1843,0%,24.44
188.114.97.111:7152,0%,24.44
188.114.96.249:3138,0%,24.44
188.114.99.146:854,0%,24.44
188.114.98.83:942,0%,24.44
188.114.98.228:1180,0%,24.44
188.114.97.85:1074,0%,24.44
162.159.192.184:864,0%,24.44
162.159.192.54:8886,0%,24.44
188.114.98.72:2506,0%,24.44
162.159.195.49:1014,0%,24.44
188.114.98.98:7156,0%,24.45
188.114.96.178:3854,0%,24.45
188.114.96.148:955,0%,24.45
188.114.97.50:8742,0%,24.45
188.114.99.251:8886,0%,24.45
162.159.192.39:8319,0%,24.45
188.114.96.175:945,0%,24.45
162.159.195.154:894,0%,24.45
188.114.96.29:955,0%,24.45
162.159.192.116:1070,0%,24.45
188.114.99.82:890,0%,24.45
188.114.96.106:903,0%,24.45
162.159.195.139:1180,0%,24.45
188.114.97.11:7156,0%,24.45
162.159.192.220:987,0%,24.45
162.159.195.25:968,0%,24.45
162.159.192.10:903,0%,24.45
162.159.195.62:3854,0%,24.45
188.114.97.192:1018,0%,24.45
188.114.96.224:5279,0%,24.45
162.159.192.175:894,0%,24.45
188.114.98.173:1010,0%,24.46
162.159.195.226:4198,0%,24.46
188.114.97.70:2408,0%,24.46
162.159.195.68:4177,0%,24.46
188.114.97.137:7281,0%,24.46
188.114.99.101:1010,0%,24.46
188.114.98.95:946,0%,24.46
188.114.97.78:934,0%,24.46
188.114.97.212:854,0%,24.46
188.114.97.96:987,0%,24.46
162.159.195.68:878,0%,24.46
188.114.98.125:5279,0%,24.46
188.114.99.183:903,0%,24.46
162.159.195.25:864,0%,24.46
188.114.98.146:500,0%,24.46
188.114.97.42:903,0%,24.46
188.114.97.117:878,0%,24.46
162.159.192.181:988,0%,24.46
188.114.99.75:1180,0%,24.46
188.114.99.123:4198,0%,24.46
162.159.195.160:5279,0%,24.46
162.159.195.29:987,0%,24.46
162.159.192.203:500,0%,24.46
188.114.97.235:8854,0%,24.46
188.114.96.204:5956,0%,24.46
162.159.195.229:3854,0%,24.46
162.159.192.59:2408,0%,24.46
188.114.97.32:7152,0%,24.47
188.114.97.229:878,0%,24.47
188.114.97.203:987,0%,24.47
162.159.195.90:1074,0%,24.47
162.159.192.243:1010,0%,24.47
188.114.97.83:943,0%,24.47
188.114.97.169:4500,0%,24.47
162.159.195.134:968,0%,24.47
188.114.98.126:3854,0%,24.47
188.114.98.126:3476,0%,24.47
162.159.195.90:928,0%,24.47
188.114.99.110:878,0%,24.47
188.114.98.233:968,0%,24.47
162.159.192.55:7103,0%,24.47
162.159.195.41:854,0%,24.47
162.159.192.213:891,0%,24.47
162.159.192.153:7156,0%,24.47
162.159.192.203:859,0%,24.47
188.114.99.215:7156,0%,24.47
188.114.98.83:945,0%,24.47
162.159.192.9:2408,0%,24.47
188.114.96.33:903,0%,24.47
162.159.192.173:891,0%,24.47
188.114.97.144:942,0%,24.47
162.159.192.20:908,0%,24.48
162.159.192.88:4500,0%,24.48
188.114.98.212:968,0%,24.48
188.114.96.176:5956,0%,24.48
162.159.195.119:1701,0%,24.48
188.114.99.161:903,0%,24.48
188.114.97.115:4233,0%,24.48
188.114.99.226:7152,0%,24.48
188.114.97.85:854,0%,24.48
188.114.96.134:7103,0%,24.48
162.159.195.48:2408,0%,24.48
188.114.97.94:8742,0%,24.48
162.159.192.239:7152,0%,24.48
188.114.97.19:1070,0%,24.48
162.159.192.167:2371,0%,24.49
188.114.96.108:894,0%,24.49
162.159.192.225:8854,0%,24.49
162.159.195.201:4500,0%,24.49
188.114.99.5:939,0%,24.49
188.114.96.143:945,0%,24.49
188.114.97.3:864,0%,24.49
188.114.97.168:4500,0%,24.49
188.114.96.7:1843,0%,24.49
162.159.192.71:3854,0%,24.49
188.114.98.199:5279,0%,24.49
162.159.195.164:7559,0%,24.49
162.159.192.149:864,0%,24.49
188.114.99.30:1387,0%,24.49
188.114.96.132:946,0%,24.49
162.159.195.255:878,0%,24.49
188.114.98.22:891,0%,24.49
188.114.97.86:7152,0%,24.49
162.159.195.225:1018,0%,24.49
188.114.98.221:864,0%,24.49
188.114.97.63:903,0%,24.49
188.114.96.154:1014,0%,24.49
162.159.192.249:946,0%,24.49
188.114.97.164:1014,0%,24.49
162.159.192.30:1180,0%,24.49
188.114.98.190:2506,0%,24.49
188.114.98.195:890,0%,24.50
162.159.195.28:5279,0%,24.50
162.159.195.124:968,0%,24.50
188.114.98.32:8319,0%,24.50
188.114.99.186:4177,0%,24.50
188.114.99.65:1010,0%,24.50
162.159.195.18:3476,0%,24.50
162.159.195.250:7281,0%,24.50
162.159.192.248:5279,0%,24.50
188.114.98.50:864,0%,24.50
162.159.192.181:7152,0%,24.50
162.159.192.35:2408,0%,24.50
188.114.96.89:1843,0%,24.50
188.114.96.183:500,0%,24.50
188.114.97.123:1074,0%,24.50
162.159.195.63:908,0%,24.50
188.114.96.137:1180,0%,24.50
162.159.192.81:1843,0%,24.50
188.114.98.222:3581,0%,24.50
162.159.195.164:8319,0%,24.50
162.159.192.156:908,0%,24.50
162.159.195.10:878,0%,24.50
188.114.98.247:1010,0%,24.50
188.114.96.28:1014,0%,24.50
188.114.97.54:1843,0%,24.50
188.114.99.8:1010,0%,24.50
162.159.192.72:8886,0%,24.50
162.159.192.114:968,0%,24.50
162.159.195.240:1070,0%,24.51
162.159.195.68:987,0%,24.51
188.114.96.99:1014,0%,24.51
188.114.96.254:2371,0%,24.51
162.159.192.69:890,0%,24.51
188.114.97.91:946,0%,24.51
162.159.195.130:7156,0%,24.51
188.114.96.45:1002,0%,24.51
162.159.192.69:934,0%,24.51
188.114.98.46:878,0%,24.51
188.114.97.5:5279,0%,24.51
162.159.192.151:2371,0%,24.51
162.159.192.72:955,0%,24.51
162.159.195.191:3854,0%,24.51
188.114.97.181:5279,0%,24.51
162.159.192.63:4500,0%,24.51
162.159.195.200:4500,0%,24.51
162.159.195.31:5279,0%,24.51
188.114.97.122:2506,0%,24.51
188.114.98.74:968,0%,24.51
188.114.96.130:4233,0%,24.51
188.114.99.196:3138,0%,24.51
188.114.99.68:1180,0%,24.51
188.114.98.115:3476,0%,24.51
188.114.97.51:2506,0%,24.51
188.114.98.144:942,0%,24.52
162.159.195.40:7559,0%,24.52
162.159.192.63:890,0%,24.52
188.114.98.182:7152,0%,24.52
188.114.99.46:5956,0%,24.52
188.114.98.226:4500,0%,24.52
162.159.192.124:8742,0%,24.52
188.114.98.202:878,0%,24.52
188.114.98.88:1843,0%,24.52
162.159.192.113:859,0%,24.52
188.114.96.116:1074,0%,24.52
188.114.99.189:3138,0%,24.52
162.159.192.16:4177,0%,24.52
188.114.97.133:890,0%,24.52
188.114.97.199:908,0%,24.52
188.114.96.110:943,0%,24.52
188.114.96.212:500,0%,24.52
188.114.99.197:1843,0%,24.52
188.114.97.76:2408,0%,24.52
188.114.98.61:1180,0%,24.52
188.114.97.58:942,0%,24.52
162.159.195.16:859,0%,24.52
162.159.195.149:864,0%,24.52
188.114.98.74:903,0%,24.52
188.114.98.42:945,0%,24.52
162.159.192.29:968,0%,24.52
188.114.98.116:1180,0%,24.53
162.159.195.44:7281,0%,24.53
188.114.99.208:1010,0%,24.53
162.159.192.155:8886,0%,24.53
188.114.98.105:939,0%,24.53
162.159.195.176:968,0%,24.53
162.159.195.152:1180,0%,24.53
188.114.97.91:5279,0%,24.53
188.114.97.86:8886,0%,24.53
162.159.192.169:880,0%,24.53
188.114.96.188:864,0%,24.53
162.159.192.193:928,0%,24.53
188.114.98.14:5956,0%,24.53
188.114.98.223:934,0%,24.53
162.159.192.218:934,0%,24.53
162.159.192.56:1018,0%,24.53
162.159.192.80:3138,0%,24.53
188.114.96.119:934,0%,24.53
188.114.98.188:2408,0%,24.53
188.114.99.171:943,0%,24.53
188.114.97.76:1387,0%,24.53
162.159.195.155:4198,0%,24.53
188.114.99.193:928,0%,24.53
188.114.98.42:1014,0%,24.53
162.159.195.215:943,0%,24.53
188.114.98.97:968,0%,24.53
162.159.195.195:7103,0%,24.53
188.114.96.209:1018,0%,24.53
188.114.97.235:4177,0%,24.53
162.159.195.14:939,0%,24.53
188.114.98.240:955,0%,24.53
188.114.96.75:7156,0%,24.54
188.114.96.90:864,0%,24.54
162.159.192.183:988,0%,24.54
162.159.192.90:891,0%,24.54
188.114.97.92:1701,0%,24.54
188.114.99.83:891,0%,24.54
162.159.192.227:988,0%,24.54
188.114.98.46:939,0%,24.54
188.114.97.56:878,0%,24.54
188.114.99.11:1018,0%,24.54
162.159.195.220:1018,0%,24.54
188.114.98.212:1070,0%,24.54
188.114.97.239:8854,0%,24.54
188.114.99.186:2371,0%,24.54
188.114.99.69:4233,0%,24.54
162.159.195.255:5279,0%,24.54
188.114.97.157:7103,0%,24.54
162.159.195.100:988,0%,24.54
188.114.98.32:7281,0%,24.54
188.114.98.117:1014,0%,24.54
188.114.98.67:890,0%,24.54
162.159.192.141:928,0%,24.54
188.114.99.125:1074,0%,24.54
188.114.99.25:500,0%,24.54
188.114.96.188:2371,0%,24.54
188.114.97.227:942,0%,24.54
188.114.97.152:1843,0%,24.54
188.114.98.62:7281,0%,24.54
162.159.192.143:3476,0%,24.55
188.114.98.130:8319,0%,24.55
188.114.96.11:878,0%,24.55
162.159.195.86:1010,0%,24.55
162.159.195.124:890,0%,24.55
188.114.98.140:946,0%,24.55
162.159.195.123:1014,0%,24.55
162.159.195.92:8742,0%,24.55
188.114.97.211:894,0%,24.55
188.114.98.11:8886,0%,24.55
188.114.96.185:3138,0%,24.55
188.114.96.159:3581,0%,24.55
162.159.192.10:4233,0%,24.55
188.114.99.31:987,0%,24.55
188.114.98.142:7559,0%,24.55
188.114.96.77:854,0%,24.55
188.114.98.42:987,0%,24.55
188.114.99.70:1701,0%,24.55
188.114.97.26:3476,0%,24.55
188.114.98.224:2506,0%,24.55
162.159.192.40:1002,0%,24.55
162.159.192.133:4177,0%,24.55
162.159.192.239:4177,0%,24.55
188.114.98.121:1074,0%,24.55
188.114.98.250:1074,0%,24.56
162.159.195.22:859,0%,24.56
188.114.96.108:5279,0%,24.56
188.114.98.181:1180,0%,24.56
162.159.192.8:2371,0%,24.56
188.114.99.65:2371,0%,24.56
162.159.195.49:1701,0%,24.56
162.159.192.166:4198,0%,24.56
162.159.192.172:3476,0%,24.56
188.114.96.67:908,0%,24.56
162.159.195.164:2408,0%,24.56
188.114.97.151:7156,0%,24.56
162.159.195.98:2371,0%,24.56
188.114.97.101:7281,0%,24.56
188.114.96.135:7281,0%,24.56
162.159.192.158:878,0%,24.56
162.159.195.3:8854,0%,24.56
162.159.195.76:4233,0%,24.56
188.114.96.130:8319,0%,24.56
162.159.192.11:3476,0%,24.56
188.114.97.190:8886,0%,24.56
162.159.192.177:7281,0%,24.56
188.114.97.124:854,0%,24.56
188.114.98.165:934,0%,24.56
188.114.97.233:890,0%,24.56
188.114.98.4:1002,0%,24.56
188.114.96.11:942,0%,24.56
162.159.195.20:500,0%,24.57
188.114.96.223:890,0%,24.57
188.114.96.47:908,0%,24.57
188.114.99.79:939,0%,24.57
162.159.192.116:968,0%,24.57
188.114.98.114:7103,0%,24.57
188.114.99.146:3854,0%,24.57
162.159.192.207:939,0%,24.57
162.159.195.224:859,0%,24.57
188.114.97.109:942,0%,24.57
188.114.98.216:1018,0%,24.57
188.114.96.163:942,0%,24.57
188.114.99.111:908,0%,24.57
188.114.96.211:1843,0%,24.57
162.159.192.145:3581,0%,24.57
162.159.195.73:3854,0%,24.57
162.159.192.253:1002,0%,24.57
162.159.195.237:7152,0%,24.57
188.114.99.103:1180,0%,24.58
162.159.195.101:3581,0%,24.58
162.159.195.69:968,0%,24.58
